,frequency,number_of_skips,skip_variance,skip_average,word_1_frequency,word_2_frequency,symmetric,chi,pmi,fisher,ll,label
228553,330,12,2.458732782369147,2.551515151515152,13525175.0,464.0,False,9190.820229659836,4.864770838891894,0.9999999127186764,1899.2839834097529,0.0
141954,664,22,5.189632022064162,5.367469879518072,31624.0,3220610.0,True,1261.88252350585,1.8529781991156469,1.0,752.7265114420613,0.0
399153,106,17,5.077340690637238,6.047169811320754,15398034.0,312.0,False,1123.8287843854223,3.6118489550982886,1.0,371.33065121319015,1.0
472926,1805,30,7.8049278320454905,7.936842105263157,515834.0,213639.0,True,12987.445056581479,3.1819938132961454,1.0,4767.078593631773,1.0
25265,687,15,1.3512073886208629,1.38136826783115,9717.0,20983938.0,True,287.45203763319887,0.9006624659643734,1.0,230.76377195041184,0.0
206592,115,11,3.2320604914933835,3.5739130434782607,256.0,2944808.0,False,9542.557226201827,6.401321452439301,0.999999999511202,853.8406847073339,0.0
184308,164,15,3.2131171921475308,3.5365853658536586,8343804.0,3293.0,True,268.02580890742655,1.7256649149989158,1.0,167.59352948582904,0.0
484418,425,19,4.879867128027684,5.108235294117646,8406.0,15398034.0,True,161.31749434122582,0.863446009270433,0.9999998958883588,130.43398014209308,1.0
79939,113,14,3.47341217009946,3.964601769911504,15398034.0,388.0,False,996.7463517314106,3.3895968396253977,1.0,357.15694702004987,1.0
416778,310,16,3.5824557752341315,3.7774193548387096,6115.0,23041.0,False,377332.817964415,10.251645454866702,1.0,3806.311207517033,0.0
52571,101,12,4.798549161846879,5.445544554455446,479352.0,9805.0,False,1009.9968376943273,3.5737571864974385,1.0,316.2411771270655,0.0
80808,1611,24,3.46467431196372,3.5170701427684667,20983938.0,22682.0,True,684.3395699239746,0.9072719733637841,1.0,548.4206162087949,0.0
204171,224,19,5.225506218112245,5.709821428571429,2977.0,5848208.0,True,1192.9379771663307,2.8337217677011854,1.0,507.6772193055146,0.0
438726,1034,26,4.792251084032637,4.915860735009671,210356.0,934470.0,True,1303.2161813240289,1.5433317488194833,1.0,856.4644193062892,0.0
108392,159,18,3.9208496499347336,4.421383647798742,11036.0,1610833.0,True,503.54712900633314,2.3091512563819947,1.0,256.63026106458875,1.0
459569,458,22,4.984306172651172,5.235807860262009,17916.0,5848208.0,True,386.50223503909933,1.2762531891228477,1.0,276.6203168351557,1.0
38726,208,16,4.193786982248518,4.543269230769232,2261.0,20983938.0,True,181.78478242219487,1.280485872052182,1.0,131.4941562995862,0.0
157068,180,14,4.03216049382716,4.372222222222222,1681404.0,14974.0,False,399.7184604316996,1.9860196225078184,1.0,227.6811504448244,1.0
55665,337,18,4.7722617967931384,5.041543026706231,4765.0,8343804.0,True,995.5362788105105,2.2316439893607267,1.0,527.3776399013824,1.0
421187,424,22,3.642633054467782,3.841981132075472,479352.0,28733.0,True,6415.1829415904995,4.092347061944167,1.0,1613.0576990855914,0.0
146016,128,9,1.72137451171875,1.8515625,20983938.0,694.0,False,409.17148692989576,2.2839995780843623,1.0,218.1985472302106,0.0
78462,860,24,4.1698269334775535,4.28953488372093,4069024.0,47948.0,True,738.0997037862602,1.2883320168834589,1.0,525.6788487515113,1.0
33673,10320,43,5.769657622739028,5.793798449612403,240128.0,5848208.0,True,24182.58616461861,2.025721589676841,1.0,13678.361450883469,1.0
344644,210,14,3.08,3.3,10313.0,4682539.0,True,174.64338710075313,1.2687830367714383,0.9999999728016691,125.15952287091366,0.0
343187,238,18,4.311136219193559,4.663865546218489,5848208.0,4175.0,True,862.6504630001292,2.4332676329407756,0.99999942425644,424.21403381061964,1.0
293911,169,18,4.7212282483106325,5.284023668639053,8343804.0,1277.0,True,1184.3427179964024,3.135636333555638,1.0,453.67760058324944,1.0
483683,152,19,4.59375,5.25,15398034.0,1886.0,True,194.64815728549917,1.5361442721658278,1.0,130.02270922913382,1.0
313820,2187,30,4.3325179402166345,4.392775491540924,21765.0,5848208.0,True,16855.43290507191,3.2510254572544426,1.0,6126.179004076184,1.0
25161,200,13,2.4169750000000008,2.585,20983938.0,704.0,False,1171.3601501869305,2.9072160018000446,1.0,508.0920180913668,0.0
99668,197,16,4.668530495503621,5.081218274111675,1681404.0,12959.0,False,634.1733852156964,2.324723610329478,1.0,321.47649478110606,0.0
306608,142,19,4.038186867684984,4.661971830985915,15398034.0,241.0,False,2811.641019040297,4.4061885026720615,1.0,696.8002717155957,1.0
1860,35239,43,5.60361389993832,5.610460001702659,2944808.0,400522.0,True,518158.4644825393,4.049194801528961,1.0,134796.27273645776,1.0
477331,411,23,5.2094410996856535,5.518248175182482,4902816.0,7214.0,True,1905.08376149233,2.686805232435645,0.9999995152644222,853.6761173457636,0.0
