,frequency,number_of_skips,skip_variance,skip_average,word_1_frequency,word_2_frequency,symmetric,chi,pmi,fisher,ll,label
40923,122,13,3.2954850846546635,3.6885245901639343,113715.0,100611.0,True,497.6910044167669,2.5628193163276047,1.0,230.93248229796643,0.0
178942,363,17,2.804362179268264,2.9421487603305785,1741691.0,106667.0,True,2.2988583830717566,0.11458763373358495,0.9371934829852808,2.238211745836701,0.0
58740,491,25,4.480601955359405,4.720977596741344,49769.0,241858.0,True,10142.748816249394,4.498392246824864,1.0,2128.7224837806552,0.0
94144,108,14,3.0543552812071337,3.5092592592592586,48373.0,150780.0,False,683.5228048860462,3.036461102357741,1.0,265.19029091264207,1.0
187481,119,13,3.1363604265235496,3.5210084033613445,77172.0,329269.0,True,116.74069969077448,1.3756942674094221,0.999998039549486,80.74998844022363,0.0
183220,133,16,4.887952965119566,5.556390977443608,1416442.0,4913.0,False,1157.9962150135725,3.404627359451702,1.0,389.8485510865043,0.0
77436,107,7,1.5285177744781202,1.6355140186915889,124697.0,22124.0,True,2091.0507358336718,4.425648673428776,1.0,452.9844803944062,1.0
154336,3951,33,4.820948802019879,4.86155403695267,1416442.0,405633.0,True,8216.575555171628,1.929920077641519,0.9999997306016256,4769.541299003185,1.0
81137,130,14,2.649467455621302,2.9692307692307693,1173186.0,3827.0,False,1837.6987639604085,4.003942842812592,0.9999998030295778,481.7349480815912,0.0
154253,262,17,2.551934619194685,2.7290076335877864,65222.0,106609.0,True,4960.290273941812,4.383955774738303,1.0,1094.9299389498835,1.0
14295,155,23,6.093152965660773,7.15483870967742,10597.0,1741691.0,True,445.9902500682216,2.21827241162525,1.0,234.6870068162398,0.0
97132,419,18,2.2932428044953053,2.39618138424821,28451.0,787297.0,True,3550.5612492280684,3.3736397823425364,0.9999999230687368,1207.7023718579915,0.0
201548,238,19,4.221947602570438,4.588235294117646,1416442.0,1073.0,False,20229.646376552995,6.439116850252951,1.0,1710.0173830208444,0.0
27794,1415,27,3.4453470514053066,3.512367491166078,320773.0,630595.0,True,3024.9546589333177,1.954612490038066,0.999999906514895,1739.4890021270044,0.0
140481,182,14,2.835164835164836,3.071428571428572,787297.0,12188.0,False,1568.3407888607935,3.39364594518878,0.999998702139448,529.1434997135806,0.0
182269,193,18,4.402131600848347,4.8549222797927465,16899.0,190303.0,False,6040.020207187989,5.0554415459036015,1.0,980.4817764756284,1.0
187878,1580,30,5.981693638839934,6.0974683544303785,1243156.0,18248.0,True,57989.40010270074,5.270255740059106,0.9999998616049284,8601.39727597695,1.0
54986,109,10,1.774850601801196,1.9541284403669723,57362.0,56909.0,True,1804.9419250600326,4.209580955509659,1.0,430.24847508830663,0.0
83172,177,11,2.2201155478949217,2.367231638418079,1173186.0,4513.0,False,2940.51658298875,4.21130770232314,1.0,704.7848234339763,0.0
174728,330,19,4.586464646464648,4.866666666666666,45614.0,111265.0,False,11241.744473296474,5.171066372465866,1.0,1727.1523042052954,0.0
90419,108,6,0.5509259259259259,0.5833333333333334,2234.0,883216.0,False,3068.02911669103,4.922640794534576,1.0,533.1194151465044,1.0
99721,200,17,3.614249999999999,3.95,32828.0,329269.0,True,1671.0705288107415,3.3578833307766733,1.0,571.1121802289963,0.0
103748,231,15,3.173553719008265,3.3939393939393936,16259.0,996050.0,False,1395.5120972340167,2.9825130394025554,1.0,554.1162283518769,0.0
37558,328,21,4.945261377156452,5.283536585365853,2440683.0,6979.0,True,2887.203948012387,3.415467436152497,0.9999984724108324,971.449252237717,1.0
179245,205,17,3.404354550862581,3.71219512195122,329269.0,102650.0,True,340.21247271687673,1.748772376583524,1.0,209.24697944252145,1.0
170655,643,14,1.189694496781949,1.2161741835147746,16090.0,1854176.0,True,6468.659861904968,3.5780250050109434,1.0,2033.1924202054056,1.0
7763,148,20,5.615777940102266,6.493243243243242,2440683.0,958.0,True,4920.7162997384585,5.132291567882987,1.0,788.302361248638,1.0
198980,11188,35,4.585181892750152,4.599570968895245,383621.0,612367.0,True,273782.89334873285,4.721878897528242,1.0,52203.51030468647,0.0
82197,3242,32,5.5040452634130785,5.558914250462676,883216.0,46852.0,True,134557.26100648186,5.440012124417336,1.0,18345.631346608225,1.0
181551,110,14,2.5705785123966947,2.9454545454545453,1173186.0,3704.0,False,1333.5699309060217,3.8100645457170543,0.9999996075405696,379.5494220226837,0.0
37704,447,21,3.5050673393090377,3.6778523489932886,1854176.0,13924.0,True,3452.5707818424385,3.262071705753435,1.0,1232.3592957508567,1.0
